second,categories,transcript
0,"['design', 'decor', 'furniture']",these three interior designers have been
35,"['decor', 'design', 'furniture']",Kitchen it's small it's sad
45,"['ceiling', 'design', 'flooring']",really limited on space we're really
50,"['design', 'decor', 'furniture']",order to make things all fit
65,"['decor', 'design', 'furniture']",everywhere I'm selecting a really
80,"['ceiling', 'lighting', 'decor']",it really just made me think of Nature
85,"['design', 'decor', 'windows']",a small scale one by one Mosaic I think
95,"['decor', 'design', 'lighting']",time and so I like the yellow because it
100,"['decor', 'design', 'lighting']",is a bit of a retro color I think I want
135,"['decor', 'windows', 'ceiling']",commonly seen in more historical
150,"['flooring', 'design', 'decor']",how the travertine and stainless steel
155,"['lighting', 'decor', 'design']",important that I keep this kitchen light
180,"['ceiling', 'design', 'decor']",interest on a ceiling and so in this
185,"['design', 'decor', 'flooring']",wonderful pattern from a company called
205,"['decor', 'design', 'lighting']",remarkable material I want to go with
225,"['design', 'decor', 'lighting']",stone colors these could be marbles
240,"['decor', 'design', 'lighting']",so I really want to incorporate
265,"['design', 'decor', 'lighting']",you want to pair that with a pattern
270,"['design', 'decor', 'lighting']",the same or a complementary palette
280,"['design', 'decor', 'windows']",frame the window frame that I would like
315,"['decor', 'design', 'windows']",get these little peekaboos of the scene
345,"['design', 'decor', 'lighting']",his piece is a three-dimensional object
370,"['decor', 'design', 'lighting']",your dishes you can clean your fruits
400,"['design', 'decor', 'lighting']",will be a work prep area when I got the
415,"['decor', 'design', 'lighting']",airplanes if you have to have a real
450,"['design', 'ceiling', 'decor']",finish you're almost not going to see
455,"['design', 'decor', 'lighting']",the cabinets in my kitchen I am planning
485,"['design', 'decor', 'furniture']",kind of be this like big refrigerator I
490,"['decor', 'design', 'lighting']",going to do with the fridge is I'm going
500,"['decor', 'design', 'furniture']",first so on my upper cabinets I'm going
505,"['windows', 'design', 'lighting']",windows that allow you to see ever so
510,"['decor', 'design', 'furniture']",like it because it does harken back to a
545,"['design', 'decor', 'furniture']",doing a custom kitchen from a kitchen
565,"['decor', 'design', 'furniture']",of the range are just set into the
570,"['design', 'decor', 'lighting']",monolithic piece of Steel it's
580,"['decor', 'design', 'lighting']",these brass poles that I think really
585,"['design', 'decor', 'lighting']",of jewelry because we moved around our
595,"['decor', 'design', 'furniture']",because you can now use this space for
640,"['lighting', 'decor', 'design']",think it's perfect for this light and
665,"['decor', 'design', 'lighting']",collector of tabletop I love glassware I
670,"['decor', 'design', 'furniture']",love vases and urns so I think the best
680,"['decor', 'design', 'furniture']",not only is it beautiful to display your
685,"['design', 'decor', 'lighting']",and go you don't have to open up a door
690,"['design', 'decor', 'flooring']",sink towards the opening of the kitchen
695,"['design', 'furniture', 'flooring']",there and I'm doing it purely to make
705,"['design', 'decor', 'lighting']",curved countertop in the back I really
710,"['decor', 'design', 'furniture']",kitchen and I love a breakfast nook the
730,"['decor', 'design', 'ceiling']",it has a steel element to it on the
750,"['furniture', 'decor', 'ceiling']",nature Vibe and I'm pulling a fixture
765,"['design', 'decor', 'lighting']",Matthew Lenore and it is from
770,"['decor', 'design', 'lighting']",attracted to this because it's like
785,"['lighting', 'decor', 'design']",the sink is a vintage light from an
795,"['design', 'decor', 'lighting']",globe inside of it and that's just gonna
800,"['decor', 'design', 'furniture']",throughout the the entire space I love
805,"['lighting', 'decor', 'design']",lighting into a space so we have our
815,"['design', 'lighting', 'decor']",like really give us this beautiful glow
820,"['lighting', 'design', 'decor']",was the Chrome picture light again like
845,"['lighting', 'decor', 'design']",or up and down steps to help light your
860,"['design', 'decor', 'lighting']",Jagger coming into Studio 54 on a white
865,"['design', 'decor', 'lighting']",of like iconic New York that went with
870,"['design', 'decor', 'ceiling']",metal and our traveler teen and also
875,"['decor', 'design', 'ceiling']",like to hang art in my kitchens this is
880,"['design', 'windows', 'decor']",feels like a little window looking out
890,"['design', 'decor', 'lighting']",that we've created here my favorite
895,"['decor', 'design', 'walls']",garden which is these Wall Planters that
900,"['decor', 'design', 'windows']",futuristic Space Age feel to them
920,"['design', 'decor', 'ceiling']",to them they're super geometric and they
940,"['design', 'decor', 'lighting']",is not afraid to express themselves in
945,"['decor', 'design', 'furniture']",of like steer away from stainless steel
965,"['decor', 'design', 'lighting']",style
1000,"['decor', 'design', 'lighting']",to think about what fabric would Funk it
1010,"['design', 'decor', 'lighting']",kind of like brought everything to that
1015,"['design', 'decor', 'lighting']",such a great balance with like the Stark
1020,"['decor', 'design', 'flooring']",everything so clean and linear and then
1025,"['design', 'decor', 'furniture']",like perfectly dials in my favorite
1030,"['design', 'decor', 'lighting']",is for a cook so if you need some fresh
1040,"['decor', 'design', 'lighting']",watch A vibe it's a whole vibe my
1045,"['decor', 'design', 'lighting']",kitchen so I started looking at the
1050,"['design', 'decor', 'furniture']",trailers and so there's a bit of
1075,"['design', 'decor', 'ceiling']",know I was kind of thinking like this is
1080,"['decor', 'design', 'furniture']",dark New York City Kitchen and so I
1090,"['design', 'decor', 'windows']",stained glass on the window yeah oh you
